date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2012-01-02;08:20;75;119;66, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2012-06-21;19:20;75;119;49, RUE DE TANGER;;;RUE DE TANGER;;Scoo50-125;A;;;;;Cond;BH;A;Piéto;BL;A;;;;;;
2012-07-27;15:05;75;119;49, RUE DE TANGER;;;RUE DE TANGER;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-12-01;11:00;75;119;46, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;VL;A;VU;Z;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-08-31;00:15;75;119;QUAI DE LA LOIRE;;;QUAI DE LA LOIRE;;VL;A;;;;;Piéto;BL;A;;;;;;;;;
2012-11-13;07:10;75;119;14 BIS, RUE LALLY TOLLEN;;;RUE LALLY TOLLENDAL;;VL;A;Bicy;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2013-05-10;22:20;75;119;89, RUE MANIN;;;RUE MANIN;;VU;A;VL;B;VL;C;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;Cond;Indem;C
2013-09-28;02:25;75;119;40, RUE ARMAND CARREL;;;RUE ARMAND CARREL;;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;
2013-10-18;23:00;75;119;6, RUE ARMAND CARREL;;;RUE ARMAND CARREL;;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-02-20;17:00;75;119;59, RUE MANIN;;;RUE MANIN;;Moto>125;A;Scoo50-125;Z;;;Cond;BL;A;;;;;;;;;
2012-08-30;20:30;75;119;234, BOULEVARD DE LA VIL;;;BOULEVARD DE LA VILLETTE;;Bicy;Z;;;;;Piéto;BL;Z;Piéto;BL;Z;;;;;;
2013-04-07;10:05;75;119;64, RUE ARCHEREAU;;;RUE ARCHEREAU;;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2013-01-01;15:30;75;119;42, RUE ARCHEREAU;;;RUE ARCHEREAU;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;
2012-01-27;13:50;75;119;90, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;Cyclo;A;VL;Z;;;Cond;BL;A;;;;;;;;;
2013-12-19;08:00;75;119;90, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2012-11-06;13:20;75;119;181, RUE DE CRIMEE;;;RUE DE CRIMEE;;VU;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-03-30;11:40;75;119;136, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;Scoo50-125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-07-26;14:45;75;119;124, AVENUE DE FLANDRE;;;AVENUE DE FLANDRE;;VL;A;VU;B;VL;C;Cond;BL;A;Cond;Indem;B;Cond;BL;C;;;
